group1,group2,n1,n2,U,p,effsize,effsize_abs,magnitude,p.adj,sig
Picornaviridae,Rhabdoviridae,9441,3625,26699962,0,0.5603,0.5603,large,0,***
Arteriviridae,Potyviridae,5604,4181,5352714,0,-0.5431,0.5431,large,0,***
Picornaviridae,Arteriviridae,9441,5604,40778507,0,0.5415,0.5415,large,0,***
Retroviridae,Arteriviridae,63035,5604,262497574,0,0.4862,0.4862,medium,0,***
Picornaviridae,Orthomyxoviridae,9441,5587,39120481,0,0.4833,0.4833,medium,0,***
Coronaviridae,Arteriviridae,5929,5604,24420001,0,0.4699,0.4699,medium,0,***
Picornaviridae,Betaflexiviridae,9441,3054,20720825,7.71450740699699e-290,0.4373,0.4373,medium,3.47152833314865e-288,***
Picornaviridae,Sedoreoviridae,9441,3055,20536762,9.29781871490552e-273,0.4241,0.4241,medium,4.18401842170748e-271,***
Potyviridae,Rhabdoviridae,4181,3625,10683152,1.19232107831666e-214,0.4097,0.4097,medium,5.36544485242498e-213,***
Coronaviridae,Rhabdoviridae,5929,3625,14934195,7.2134098186615e-225,0.3897,0.3897,medium,3.24603441839767e-223,***
Retroviridae,Picornaviridae,63035,9441,182001385.5,0,-0.3883,0.3883,medium,0,***
Flaviviridae,Arteriviridae,9374,5604,35682451,5.01591961467819e-296,0.3585,0.3585,medium,2.25716382660518e-294,***
Arteriviridae,Sedoreoviridae,5604,3055,5839073,2.41277471000484e-132,-0.3179,0.3179,medium,1.08574861950218e-130,***
Picornaviridae,Potyviridae,9441,4181,25991143,7.16967126180995e-192,0.3169,0.3169,medium,3.22635206781448e-190,***
Potyviridae,Betaflexiviridae,4181,3054,8305503,2.9794397398259e-106,0.3009,0.3009,medium,1.34074788292165e-104,***
Orthomyxoviridae,Potyviridae,5587,4181,8188523,2.11876905770895e-141,-0.2989,0.2989,small,9.5344607596903e-140,***
Coronaviridae,Betaflexiviridae,5929,3054,11710234,3.08532152057836e-115,0.2934,0.2934,small,1.38839468426026e-113,***
Retroviridae,Rhabdoviridae,63035,3625,147366886,6.70637684108484e-190,0.2899,0.2899,small,3.01786957848818e-188,***
Coronaviridae,Orthomyxoviridae,5929,5587,21253324,1.58541951246449e-152,0.2832,0.2832,small,7.13438780609019e-151,***
Arteriviridae,Betaflexiviridae,5604,3054,6233999,4.67881796989242e-97,-0.2715,0.2715,small,2.10546808645159e-95,***
Arteriviridae,Orthomyxoviridae,5604,5587,11485063,1.67658146885764e-131,-0.2664,0.2664,small,7.54461660985937e-130,***
Flaviviridae,Rhabdoviridae,9374,3625,21490316,1.21512213959248e-121,0.2649,0.2649,small,5.46804962816614e-120,***
Coronaviridae,Sedoreoviridae,5929,3055,11349915,2.48265125944945e-86,0.2532,0.2532,small,1.11719306675225e-84,***
Potyviridae,Sedoreoviridae,4181,3055,7956640,1.41132587986801e-71,0.2459,0.2459,small,6.35096645940604e-70,***
Picornaviridae,Flaviviridae,9441,9374,55085590,5.13681309257496e-186,0.2449,0.2449,small,2.31156589165873e-184,***
Retroviridae,Orthomyxoviridae,63035,5587,208585768,4.70294240828572e-116,0.1846,0.1846,small,2.11632408372858e-114,***
Retroviridae,Betaflexiviridae,63035,3054,113255561,3.05506086953342e-61,0.1766,0.1766,small,1.37477739129004e-59,***
Retroviridae,Coronaviridae,63035,5929,154415725,1.22764496091863e-108,-0.1737,0.1737,small,5.52440232413384e-107,***
Rhabdoviridae,Sedoreoviridae,3625,3055,4617390,1.08160409675974e-31,-0.1661,0.1661,small,4.86721843541884e-30,***
Retroviridae,Potyviridae,63035,4181,110430321,4.39200394323321e-69,-0.162,0.162,small,1.97640177445494e-67,***
Flaviviridae,Betaflexiviridae,9374,3054,16613711,1.11386222782204e-40,0.1607,0.1607,small,5.01238002519916e-39,***
Picornaviridae,Coronaviridae,9441,5929,32313436,1.06096461260192e-58,0.1546,0.1546,small,4.77434075670865e-57,***
Flaviviridae,Orthomyxoviridae,9374,5587,30106337,4.10467091516366e-53,0.1497,0.1497,small,1.84710191182365e-51,***
Orthomyxoviridae,Rhabdoviridae,5587,3625,11578656,2.40349817783476e-31,0.1434,0.1434,small,1.08157418002564e-29,***
Arteriviridae,Rhabdoviridae,5604,3625,8816859,7.93490085899922e-27,-0.132,0.132,small,3.57070538654965e-25,***
Flaviviridae,Sedoreoviridae,9374,3055,16011977,8.28789276673425e-23,0.1182,0.1182,small,3.72955174503041e-21,***
Rhabdoviridae,Betaflexiviridae,3625,3054,4889289,1.87094149466621e-16,-0.1167,0.1167,small,8.41923672599794e-15,***
Retroviridae,Sedoreoviridae,63035,3055,106687357,5.53320072313256e-24,0.108,0.108,small,2.48994032540965e-22,***
Flaviviridae,Coronaviridae,9374,5929,24889999,1.29038944280672e-27,-0.1043,0.1043,small,5.80675249263025e-26,***
Flaviviridae,Potyviridae,9374,4181,18027752,9.00396979938352e-14,-0.08,0.08,negligible,4.05178640972258e-12,***
Coronaviridae,Potyviridae,5929,4181,13226680,8.53222419068984e-09,0.0671,0.0671,negligible,3.83950088581043e-07,***
Sedoreoviridae,Betaflexiviridae,3055,3054,4916715,0.000259922740157409,0.054,0.054,negligible,0.0116965233070834,*
Orthomyxoviridae,Sedoreoviridae,5587,3055,8282225,0.0230825380308297,-0.0295,0.0295,negligible,1,ns
Orthomyxoviridae,Betaflexiviridae,5587,3054,8778944,0.025511018837758,0.029,0.029,negligible,1,ns
Retroviridae,Flaviviridae,63035,9374,290930250,0.0168034581077886,-0.0153,0.0153,negligible,0.756155614850486,ns
