protein_name,family,plddt
synthetic_protein_001,Retroviridae,80.769097
synthetic_protein_002,Retroviridae,80.480964
synthetic_protein_003,Retroviridae,81.096841
synthetic_protein_004,Retroviridae,89.229837
synthetic_protein_005,Retroviridae,80.934117
synthetic_protein_006,Retroviridae,67.236466
synthetic_protein_007,Retroviridae,85.533183
synthetic_protein_008,Retroviridae,79.536625
synthetic_protein_009,Retroviridae,80.040413
synthetic_protein_010,Retroviridae,83.368848
synthetic_protein_011,Retroviridae,84.532977
synthetic_protein_012,Retroviridae,93.845587
synthetic_protein_013,Retroviridae,88.776365
synthetic_protein_014,Retroviridae,83.315072
synthetic_protein_015,Retroviridae,74.826784
synthetic_protein_016,Retroviridae,72.063376
synthetic_protein_017,Retroviridae,84.673422
synthetic_protein_018,Retroviridae,95.320808
synthetic_protein_019,Retroviridae,82.626569
synthetic_protein_020,Retroviridae,81.146767
synthetic_protein_021,Retroviridae,87.527762
synthetic_protein_022,Retroviridae,67.674547
synthetic_protein_023,Retroviridae,79.087227
synthetic_protein_024,Retroviridae,87.113625
synthetic_protein_025,Retroviridae,90.944044
synthetic_protein_026,Retroviridae,79.803703
synthetic_protein_027,Retroviridae,85.975999
synthetic_protein_028,Retroviridae,84.692134
synthetic_protein_029,Retroviridae,90.033268
synthetic_protein_030,Retroviridae,71.077778
synthetic_protein_031,Retroviridae,87.892507
synthetic_protein_032,Retroviridae,67.064796
synthetic_protein_033,Retroviridae,56.010546
synthetic_protein_034,Retroviridae,76.141093
synthetic_protein_035,Retroviridae,73.0519
synthetic_protein_036,Retroviridae,90.970122
synthetic_protein_037,Retroviridae,88.852659
synthetic_protein_038,Retroviridae,70.019253
synthetic_protein_039,Retroviridae,90.683614
synthetic_protein_040,Retroviridae,72.187972
synthetic_protein_041,Retroviridae,81.347562
synthetic_protein_042,Retroviridae,79.271002
synthetic_protein_043,Retroviridae,83.354199
synthetic_protein_044,Retroviridae,90.396363
synthetic_protein_045,Retroviridae,88.594138
synthetic_protein_046,Retroviridae,85.708851
synthetic_protein_047,Retroviridae,88.709481
synthetic_protein_048,Retroviridae,86.99492
synthetic_protein_049,Retroviridae,75.940145
synthetic_protein_050,Retroviridae,75.036289
synthetic_protein_051,Picornaviridae,78.030571
synthetic_protein_052,Picornaviridae,95.477875
synthetic_protein_053,Picornaviridae,81.98792
synthetic_protein_054,Picornaviridae,99.9
synthetic_protein_055,Picornaviridae,71.742734
synthetic_protein_056,Picornaviridae,66.710257
synthetic_protein_057,Picornaviridae,99.9
synthetic_protein_058,Picornaviridae,99.9
synthetic_protein_059,Picornaviridae,95.592468
synthetic_protein_060,Picornaviridae,99.9
synthetic_protein_061,Picornaviridae,99.9
synthetic_protein_062,Picornaviridae,84.797505
synthetic_protein_063,Picornaviridae,60.876739
synthetic_protein_064,Picornaviridae,76.912622
synthetic_protein_065,Picornaviridae,99.9
synthetic_protein_066,Picornaviridae,60.503789
synthetic_protein_067,Picornaviridae,87.093564
synthetic_protein_068,Picornaviridae,91.048272
synthetic_protein_069,Picornaviridae,80.809341
synthetic_protein_070,Picornaviridae,99.515376
synthetic_protein_071,Picornaviridae,96.944035
synthetic_protein_072,Picornaviridae,99.9
synthetic_protein_073,Picornaviridae,97.64942
synthetic_protein_074,Picornaviridae,75.520738
synthetic_protein_075,Picornaviridae,76.377643
synthetic_protein_076,Picornaviridae,71.52154
synthetic_protein_077,Picornaviridae,99.9
synthetic_protein_078,Picornaviridae,76.287009
synthetic_protein_079,Picornaviridae,85.225306
synthetic_protein_080,Picornaviridae,99.9
synthetic_protein_081,Picornaviridae,73.467666
synthetic_protein_082,Picornaviridae,81.204157
synthetic_protein_083,Picornaviridae,53.346847
synthetic_protein_084,Picornaviridae,67.005385
synthetic_protein_085,Picornaviridae,76.270745
synthetic_protein_086,Picornaviridae,93.973698
synthetic_protein_087,Picornaviridae,99.9
synthetic_protein_088,Picornaviridae,86.157597
synthetic_protein_089,Picornaviridae,91.194557
synthetic_protein_090,Picornaviridae,89.513449
synthetic_protein_091,Picornaviridae,99.9
synthetic_protein_092,Picornaviridae,99.9
synthetic_protein_093,Picornaviridae,91.41648
synthetic_protein_094,Picornaviridae,68.293003
synthetic_protein_095,Picornaviridae,99.9
synthetic_protein_096,Picornaviridae,93.348848
synthetic_protein_097,Picornaviridae,99.9
synthetic_protein_098,Picornaviridae,85.951681
synthetic_protein_099,Picornaviridae,99.9
synthetic_protein_100,Picornaviridae,80.030226
synthetic_protein_101,Flaviviridae,99.9
synthetic_protein_102,Flaviviridae,82.526547
synthetic_protein_103,Flaviviridae,74.318503
synthetic_protein_104,Flaviviridae,66.360178
synthetic_protein_105,Flaviviridae,79.066603
synthetic_protein_106,Flaviviridae,99.533173
synthetic_protein_107,Flaviviridae,91.642868
synthetic_protein_108,Flaviviridae,89.98549
synthetic_protein_109,Flaviviridae,50.143657
synthetic_protein_110,Flaviviridae,90.272535
synthetic_protein_111,Flaviviridae,88.256081
synthetic_protein_112,Flaviviridae,73.880958
synthetic_protein_113,Flaviviridae,72.874003
synthetic_protein_114,Flaviviridae,80.999964
synthetic_protein_115,Flaviviridae,99.9
synthetic_protein_116,Flaviviridae,67.313691
synthetic_protein_117,Flaviviridae,75.468535
synthetic_protein_118,Flaviviridae,98.733202
synthetic_protein_119,Flaviviridae,75.23004
synthetic_protein_120,Flaviviridae,76.294731
synthetic_protein_121,Flaviviridae,82.301093
synthetic_protein_122,Flaviviridae,64.893238
synthetic_protein_123,Flaviviridae,83.889291
synthetic_protein_124,Flaviviridae,65.304971
synthetic_protein_125,Flaviviridae,92.537578
synthetic_protein_126,Flaviviridae,81.071351
synthetic_protein_127,Flaviviridae,99.9
synthetic_protein_128,Flaviviridae,84.680927
synthetic_protein_129,Flaviviridae,98.783963
synthetic_protein_130,Flaviviridae,64.087568
synthetic_protein_131,Flaviviridae,79.442189
synthetic_protein_132,Flaviviridae,85.230894
synthetic_protein_133,Flaviviridae,99.9
synthetic_protein_134,Flaviviridae,59.178093
synthetic_protein_135,Flaviviridae,93.908056
synthetic_protein_136,Flaviviridae,88.717602
synthetic_protein_137,Flaviviridae,99.9
synthetic_protein_138,Flaviviridae,90.291012
synthetic_protein_139,Flaviviridae,81.706925
synthetic_protein_140,Flaviviridae,74.248555
synthetic_protein_141,Flaviviridae,64.803664
synthetic_protein_142,Flaviviridae,83.570496
synthetic_protein_143,Flaviviridae,78.537942
synthetic_protein_144,Flaviviridae,99.9
synthetic_protein_145,Flaviviridae,73.086677
synthetic_protein_146,Flaviviridae,85.195094
synthetic_protein_147,Flaviviridae,60.632982
synthetic_protein_148,Flaviviridae,75.888986
synthetic_protein_149,Flaviviridae,84.424922
synthetic_protein_150,Flaviviridae,91.74148
synthetic_protein_151,Coronaviridae,99.9
synthetic_protein_152,Coronaviridae,82.980222
synthetic_protein_153,Coronaviridae,70.103061
synthetic_protein_154,Coronaviridae,89.004205
synthetic_protein_155,Coronaviridae,89.713845
synthetic_protein_156,Coronaviridae,89.4099
synthetic_protein_157,Coronaviridae,75.106548
synthetic_protein_158,Coronaviridae,97.110613
synthetic_protein_159,Coronaviridae,84.564751
synthetic_protein_160,Coronaviridae,91.907895
synthetic_protein_161,Coronaviridae,98.798879
synthetic_protein_162,Coronaviridae,90.821268
synthetic_protein_163,Coronaviridae,86.948192
synthetic_protein_164,Coronaviridae,99.9
synthetic_protein_165,Coronaviridae,86.434436
synthetic_protein_166,Coronaviridae,79.958429
synthetic_protein_167,Coronaviridae,84.853604
synthetic_protein_168,Coronaviridae,99.9
synthetic_protein_169,Coronaviridae,84.93455
synthetic_protein_170,Coronaviridae,89.742532
synthetic_protein_171,Coronaviridae,97.858777
synthetic_protein_172,Coronaviridae,77.355697
synthetic_protein_173,Coronaviridae,62.791163
synthetic_protein_174,Coronaviridae,87.103078
synthetic_protein_175,Coronaviridae,86.266818
synthetic_protein_176,Coronaviridae,76.213878
synthetic_protein_177,Coronaviridae,93.963037
synthetic_protein_178,Coronaviridae,90.800809
synthetic_protein_179,Coronaviridae,71.570091
synthetic_protein_180,Coronaviridae,89.728621
synthetic_protein_181,Coronaviridae,81.15674
synthetic_protein_182,Coronaviridae,65.713697
synthetic_protein_183,Coronaviridae,88.945403
synthetic_protein_184,Coronaviridae,82.967424
synthetic_protein_185,Coronaviridae,74.566605
synthetic_protein_186,Coronaviridae,89.785347
synthetic_protein_187,Coronaviridae,89.367119
synthetic_protein_188,Coronaviridae,76.579554
synthetic_protein_189,Coronaviridae,88.314226
synthetic_protein_190,Coronaviridae,95.690779
synthetic_protein_191,Coronaviridae,74.958
synthetic_protein_192,Coronaviridae,88.08068
synthetic_protein_193,Coronaviridae,83.543069
synthetic_protein_194,Coronaviridae,99.9
synthetic_protein_195,Coronaviridae,61.162364
synthetic_protein_196,Coronaviridae,91.853407
synthetic_protein_197,Coronaviridae,79.83506
synthetic_protein_198,Coronaviridae,82.307629
synthetic_protein_199,Coronaviridae,99.9
synthetic_protein_200,Coronaviridae,83.407122
synthetic_protein_201,Arteriviridae,99.9
synthetic_protein_202,Arteriviridae,66.517781
synthetic_protein_203,Arteriviridae,78.407681
synthetic_protein_204,Arteriviridae,65.787287
synthetic_protein_205,Arteriviridae,62.78968
synthetic_protein_206,Arteriviridae,74.087247
synthetic_protein_207,Arteriviridae,68.911427
synthetic_protein_208,Arteriviridae,76.187374
synthetic_protein_209,Arteriviridae,41.574582
synthetic_protein_210,Arteriviridae,99.9
synthetic_protein_211,Arteriviridae,70.645046
synthetic_protein_212,Arteriviridae,99.293583
synthetic_protein_213,Arteriviridae,58.043318
synthetic_protein_214,Arteriviridae,77.538036
synthetic_protein_215,Arteriviridae,99.9
synthetic_protein_216,Arteriviridae,60.104062
synthetic_protein_217,Arteriviridae,50.720503
synthetic_protein_218,Arteriviridae,64.952357
synthetic_protein_219,Arteriviridae,80.237326
synthetic_protein_220,Arteriviridae,83.550101
synthetic_protein_221,Arteriviridae,92.5055
synthetic_protein_222,Arteriviridae,69.294814
synthetic_protein_223,Arteriviridae,49.116239
synthetic_protein_224,Arteriviridae,66.624553
synthetic_protein_225,Arteriviridae,91.75334
synthetic_protein_226,Arteriviridae,80.13494
synthetic_protein_227,Arteriviridae,43.795918
synthetic_protein_228,Arteriviridae,72.624227
synthetic_protein_229,Arteriviridae,94.122521
synthetic_protein_230,Arteriviridae,99.9
synthetic_protein_231,Arteriviridae,81.5753
synthetic_protein_232,Arteriviridae,77.789535
synthetic_protein_233,Arteriviridae,54.546915
synthetic_protein_234,Arteriviridae,60.501357
synthetic_protein_235,Arteriviridae,73.853738
synthetic_protein_236,Arteriviridae,80.697966
synthetic_protein_237,Arteriviridae,81.852763
synthetic_protein_238,Arteriviridae,65.976872
synthetic_protein_239,Arteriviridae,55.870867
synthetic_protein_240,Arteriviridae,61.483272
synthetic_protein_241,Arteriviridae,55.795384
synthetic_protein_242,Arteriviridae,82.801138
synthetic_protein_243,Arteriviridae,38.465783
synthetic_protein_244,Arteriviridae,68.15083
synthetic_protein_245,Arteriviridae,79.898175
synthetic_protein_246,Arteriviridae,95.980191
synthetic_protein_247,Arteriviridae,74.219495
synthetic_protein_248,Arteriviridae,88.169259
synthetic_protein_249,Arteriviridae,67.164939
synthetic_protein_250,Arteriviridae,61.98394
synthetic_protein_251,Orthomyxoviridae,69.134104
synthetic_protein_252,Orthomyxoviridae,99.9
synthetic_protein_253,Orthomyxoviridae,94.163317
synthetic_protein_254,Orthomyxoviridae,86.560969
synthetic_protein_255,Orthomyxoviridae,99.9
synthetic_protein_256,Orthomyxoviridae,78.764879
synthetic_protein_257,Orthomyxoviridae,88.555245
synthetic_protein_258,Orthomyxoviridae,83.863873
synthetic_protein_259,Orthomyxoviridae,75.921715
synthetic_protein_260,Orthomyxoviridae,99.9
